dia,VIX,dia_fwd_25,VIX_fwd_25,VIX_change_pts,VIX_change_pct,PnL_fwd_pct_25,PnL_fwd_pts_25,tipo
2022-09-15,26.27,2023-01-17,19.36,-6.91,-26.303768557289686,-163.13,-63.05,DESASTRE
2022-06-06,25.07,2023-05-09,17.71,-7.359999999999999,-29.35779816513761,-509.78,-80.8,DESASTRE
2023-08-24,17.2,2023-12-20,13.67,-3.5299999999999994,-20.523255813953487,-196.77,-24.4,DESASTRE
2021-12-14,21.89,2022-03-02,30.74,8.849999999999998,40.42941982640474,-36.59,-11.8,DESASTRE
2023-01-19,20.52,2023-04-05,19.08,-1.4400000000000013,-7.0175438596491295,-51.2,-7.45,DESASTRE
2022-12-21,20.07,2023-05-03,18.34,-1.7300000000000004,-8.619830592924766,-565.39,-107.425,DESASTRE
2023-09-15,13.79,2024-02-08,12.79,-1.0,-7.251631617113851,-108.65,-20.1,DESASTRE
2022-12-28,22.14,2023-09-21,17.54,-4.600000000000001,-20.776874435411028,-88.88,-35.55,DESASTRE
2024-06-25,12.84,2024-10-18,18.03,5.190000000000001,40.420560747663565,-107.74,-24.35,DESASTRE
2022-12-12,25.0,2023-04-26,18.84,-6.16,-24.64,-377.06,-123.675,DESASTRE
2025-01-03,16.13,2025-03-27,18.69,2.5600000000000023,15.871047737135788,-56.84,-11.425,DESASTRE
2022-12-09,22.83,2023-05-09,17.71,-5.119999999999997,-22.426631625054743,-347.73,-114.75,DESASTRE
2022-09-20,27.16,2023-02-03,18.33,-8.830000000000002,-32.51104565537556,-341.59,-96.5,DESASTRE
2024-11-22,15.24,2025-03-04,23.51,8.270000000000001,54.26509186351707,-43.82,-7.625,DESASTRE
2023-01-11,21.09,2023-05-25,19.14,-1.9499999999999993,-9.246088193456611,-580.66,-61.55,DESASTRE
2023-09-01,13.09,2024-01-22,13.19,0.09999999999999964,0.7639419404125259,-186.29,-48.25,DESASTRE
2024-12-27,15.95,2025-05-13,18.22,2.2699999999999996,14.231974921630092,-61.78,-13.9,DESASTRE
2021-12-20,22.87,2022-03-07,36.45,13.580000000000002,59.379099256668134,-134.26,-26.45,DESASTRE
2021-11-26,28.62,2022-02-14,28.33,-0.2900000000000027,-1.0132774283717774,-95.64,-19.175,DESASTRE
2022-12-30,21.67,2023-05-12,17.03,-4.640000000000001,-21.412090447623445,-3740.38,-97.25,DESASTRE
2022-10-26,27.28,2023-02-13,20.34,-6.940000000000001,-25.43988269794722,-433.36,-132.825,DESASTRE
2022-12-13,22.55,2023-07-06,15.44,-7.110000000000001,-31.529933481152998,-130.86,-50.25,DESASTRE
2023-01-10,20.58,2023-05-25,19.14,-1.4399999999999977,-6.9970845481049455,-206.66,-74.5,DESASTRE
2024-12-17,15.87,2025-05-02,22.68,6.8100000000000005,42.91115311909263,-315.36,-22.075,DESASTRE
2024-04-12,17.31,2024-11-20,17.16,-0.14999999999999858,-0.8665511265164563,-189.29,-37.1,DESASTRE
2023-07-17,13.48,2023-12-20,13.67,0.1899999999999995,1.4094955489614207,-23.75,-8.1,DESASTRE
