variable,n_samples,correlation,corr_pvalue,auc,mean_disastrous,mean_normal,mean_diff,t_statistic,t_pvalue,trend_slope,trend_r2,trend_pvalue,predictive_score
BQI_ABS,6463,0.15405150691636527,1.286492031959771e-35,0.3337888436619739,4.041253072018561,42.78083877171374,-38.739585699695176,-12.25572040814939,3.7715285382282462e-34,-0.06250074825387475,0.9896998933399214,0.000445039740081009,41.166990394411215
BQR_1000,6463,0.15405154525929632,1.286441425941855e-35,0.3337821119822403,4041.243619489559,42780.83791102515,-38739.59429153559,-12.255723091037796,3.7714065803078993e-34,-0.0624852358222544,0.9890103491691714,0.0004905718629416267,41.160365370181
theta_k2,6463,0.2759353223012432,2.788744342513751e-113,0.34344319434658577,-0.5292281198762567,-0.4526084789168278,-0.07661964095942891,-22.388936748997953,3.1469594114454358e-102,-0.06033172229092865,0.6499022093750629,0.09941072526695777,41.039353988924496
theta_k3,6463,0.24002918431057194,2.2994525987524647e-85,0.3541867308120949,-0.14232449574632638,-0.128598116827853,-0.013726378918473392,-14.451866410565248,1.13564757297573e-45,-0.055653242038019905,0.7980025410747439,0.04115712084591799,41.0134317075808
Ears_total,6463,0.1422954139944638,1.3840826807037702e-30,0.6652270595574145,435.53361948955916,387.0408665377176,48.49275295184157,12.58488526639575,2.098723128136153e-35,0.06367065815213618,0.999772753135824,1.4540030671867214e-06,40.87567233348874
EarR,6463,0.11137566083908203,2.7072301981754634e-19,0.677660023246734,361.1681515854602,301.8105667311412,59.357584854318986,15.516169490231741,3.5233954487907896e-52,0.06938366627637745,0.9971525679481628,6.454168705097188e-05,40.41919643452345
BQI_per_net_credit,6463,0.1016143441785112,2.6410147397653326e-16,0.32777520976662017,0.28786281019613985,3.2175264992418224,-2.9296636890456824,-8.387607921857276,6.068661200809369e-17,-0.06505349117299868,0.990802446470727,0.00037540491763544135,39.8454463993978
iv_spread_k2_k3,6463,-0.20412441161481254,9.43072582342949e-62,0.3956097480706258,0.022422172467130706,0.018989447195357834,0.0034327252717728726,10.817972535327119,1.1074857088598928e-26,0.04308104607088897,0.8808021737121065,0.018133738834673587,39.10736416274041
PnLDV_per_credit,6463,0.080205598242031,1.0672238188899249e-10,0.3305839657372461,-3.962258701905066,-3.029982622035594,-0.9322760798694718,-16.635902590950536,1.3092066336799424e-59,-0.06567436230811778,0.9792944554381485,0.0012724430073221065,38.97575387215257
Ears_asymmetry,6463,0.07442254719520053,2.0960034749760623e-09,0.6699446955111664,286.8182598607889,216.85003868471952,69.96822117606936,16.60002317067381,6.896317607379175e-59,0.06559373047057386,0.9824635490865377,0.0009908361048684103,38.85509972716805
Asym,6463,0.07442254883179315,2.0960017725327456e-09,0.6699435735645441,286.8182596589328,216.85003882814235,69.96822083079044,16.60002308912402,6.8963257989404205e-59,0.06559373047057386,0.9824635490865377,0.0009908361048684103,38.85505489840094
UEL_inf_USD,6463,0.0652261313257867,1.535214312154478e-07,0.6611918663357672,32623.697904098994,25080.75894584139,7542.938958257604,15.435236465857653,1.834385088481637e-51,0.06250038909201487,0.9885982370396595,0.0005184883083864598,38.29044096360089
Ears_ratio,6463,0.07045102871592783,1.430440849937375e-08,0.34830428987510487,0.23733975056846726,0.352933120689504,-0.11559337012103674,-19.173882785888356,4.784289682461775e-77,-0.058090180754192026,0.9863267435844502,0.0006813774166717989,38.04462670231814
RATIO_UEL_EARS,6463,-0.06939740485014254,2.3409709073713865e-08,0.35811653584769054,1.4765010054137664,1.2224909477756285,0.2540100576381379,15.563943307420825,3.470698303259441e-52,0.05453730996275294,0.9789677224514081,0.0013028099814510587,37.54693793611074
EarL,6463,0.1222291930814761,6.116618938771447e-23,0.4014304071469496,74.36546790409899,85.23029980657641,-10.86483190247742,-8.365602948914402,1.110050718118641e-16,-0.04061276604914771,0.926744416194444,0.008607472641836126,36.87710366851074
net_credit,6463,0.11603504613597916,8.11056253428948e-21,0.39255349067512774,-33.20819798917246,-29.70613152804642,-3.5020664611260415,-16.128280043999755,5.534805597577429e-56,-0.04256593008503268,0.78363193354625,0.045862282595288906,35.61523109253677
delta_total,6463,-0.05894733662354834,2.114643613052039e-06,0.41590703400695017,0.0905499992266048,0.08272209632495164,0.007827902901653153,10.214351507771088,5.4961393110215346e-24,0.031946788973252024,0.976084419148819,0.0015810853711094852,34.892982929916634
danger_score,6463,-0.07507956594398435,1.5106989930408057e-09,0.4232495014817175,2.440061871616396,1.8903288201160542,0.5497330515003418,9.18222323999032,1.1521490630147446e-19,0.14553856173920854,0.9483349271852475,0.14597928095682725,34.8057561909033
